Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,HasMortgage,HasDependents,HasCoSigner,Default,EmploymentType_Part-time,EmploymentType_Self-employed,EmploymentType_Unemployed,MaritalStatus_Married,MaritalStatus_Single,LoanPurpose_Business,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other
65,111594,202913,817,46,1,21.81,24,0.48,1,1,0,0,0,True,False,False,False,False,False,False,True,False
54,101925,89235,363,85,1,9.2,12,0.32,2,1,0,0,0,False,True,False,False,True,False,False,True,False
30,64349,160790,531,82,2,2.92,36,0.41,1,1,1,1,0,True,False,False,True,False,False,True,False,False
33,124899,14410,811,104,4,8.24,60,0.47,2,0,1,1,0,False,True,False,True,False,False,False,False,True
50,36135,185019,629,110,1,20.85,24,0.88,2,1,1,0,0,False,True,False,False,False,True,False,False,False
34,138248,103958,525,2,4,6.71,36,0.24,0,0,0,1,1,False,False,True,False,False,False,True,False,False
42,21668,204640,718,5,4,18.76,36,0.32,0,0,0,1,1,False,False,True,False,False,False,False,True,False
66,54363,219987,300,9,1,17.39,60,0.22,0,0,1,0,0,False,True,False,False,False,False,False,True,False
69,146507,240889,759,65,1,7.75,36,0.7,3,1,1,0,0,False,True,False,False,False,False,True,False,False
27,141144,219945,342,28,4,3.79,12,0.81,0,0,1,0,0,False,True,False,False,False,False,False,False,False
35,125950,141926,564,59,3,2.91,48,0.26,0,1,1,1,0,False,True,False,False,False,False,True,False,False
50,147865,17202,514,85,3,2.79,12,0.64,3,1,0,0,0,True,False,False,True,False,False,False,False,False
66,110903,158060,694,94,4,22.12,60,0.83,2,0,0,1,0,False,False,True,True,False,False,False,False,False
66,110730,11643,844,66,4,6.17,60,0.68,3,1,1,0,0,False,False,False,False,True,False,False,True,False
38,24314,197889,310,84,1,6.68,60,0.18,0,0,0,0,0,False,False,False,False,False,True,False,False,False
51,93850,199760,729,58,2,17.68,12,0.17,3,0,1,0,0,False,False,True,False,True,False,False,True,False
42,108833,182776,567,6,1,14.55,36,0.84,3,0,1,1,0,False,False,False,True,False,False,True,False,False
18,116182,12756,304,83,3,21.99,36,0.4,3,0,1,1,0,False,False,True,False,True,False,False,False,False
47,83930,37358,696,107,1,5.31,12,0.76,0,1,1,0,0,True,False,False,True,False,False,True,False,False
27,22731,43936,735,3,3,17.98,24,0.25,3,1,0,0,0,False,True,False,False,True,False,False,False,False
67,101466,185680,481,29,3,4.05,60,0.84,3,0,0,0,0,False,False,False,False,True,True,False,False,False
61,106054,197706,847,79,1,12.93,36,0.86,2,1,0,0,0,False,False,False,False,True,False,False,False,True
45,139116,149741,839,73,4,14.61,36,0.29,0,1,0,1,1,False,False,True,True,False,False,False,False,False
18,91640,135101,686,77,1,2.49,36,0.76,3,0,0,0,0,False,False,False,False,True,False,False,False,True
37,17583,108832,333,39,2,21.88,24,0.59,2,0,1,0,0,True,False,False,True,False,True,False,False,False
56,112659,205279,358,43,1,12.25,24,0.43,2,0,1,1,0,False,False,True,False,False,True,False,False,False
57,118191,11181,653,99,4,22.94,48,0.88,0,1,1,1,0,False,True,False,True,False,False,True,False,False
31,138710,173032,479,38,2,24.66,60,0.87,2,0,1,1,0,False,False,True,False,True,False,False,False,False
45,128307,26875,312,101,2,13.07,12,0.84,0,1,1,1,0,True,False,False,False,True,False,False,False,True
25,145515,114442,831,82,1,10.65,36,0.44,3,0,1,1,0,False,True,False,True,False,False,False,False,False
65,95515,60481,575,93,2,8.57,48,0.25,2,0,0,1,0,False,False,False,False,True,False,False,False,True
54,25909,120301,436,50,1,18.79,24,0.3,0,1,1,1,0,False,False,False,False,True,False,True,False,False
33,29554,90546,345,98,1,22.42,60,0.14,1,1,0,1,1,False,False,True,True,False,False,False,True,False
21,115013,175570,455,44,2,13.12,12,0.39,3,0,0,0,0,True,False,False,False,True,False,False,True,False
55,55597,12198,369,72,2,3.16,36,0.42,0,0,0,1,0,False,False,True,False,False,False,False,False,True
26,112443,178553,709,55,3,21.66,24,0.5,2,0,0,0,1,True,False,False,False,False,False,False,True,False
19,87750,234793,460,98,3,6.48,24,0.77,3,1,1,1,1,False,False,False,False,True,False,False,True,False
23,139432,66444,403,70,3,22.92,24,0.78,0,0,1,0,0,False,False,True,False,True,False,False,False,False
43,106750,142979,494,82,1,15.21,24,0.3,1,1,1,0,0,False,False,True,False,False,False,True,False,False
21,107232,136885,348,87,3,4.22,48,0.55,0,1,0,1,0,False,True,False,True,False,True,False,False,False
54,52751,7904,653,101,1,14.09,48,0.82,0,1,1,0,0,True,False,False,False,True,False,True,False,False
68,148726,221098,808,105,3,9.28,48,0.61,3,0,0,0,0,False,False,True,False,True,True,False,False,False
37,124186,6523,346,77,3,17.56,36,0.79,3,0,0,0,0,False,True,False,True,False,False,False,True,False
54,141822,135404,771,3,1,17.91,12,0.43,2,0,0,1,0,False,True,False,True,False,False,False,False,False
63,87775,25022,739,41,4,15.91,24,0.7,0,1,1,0,0,False,False,False,True,False,False,False,True,False
26,46533,170652,677,52,2,5.32,36,0.68,0,0,0,1,0,False,False,True,False,False,False,False,True,False
32,110745,21565,602,20,3,3.72,60,0.51,0,1,1,0,0,False,True,False,True,False,False,False,False,False
37,37659,67102,550,49,2,2.93,36,0.24,3,1,1,1,0,False,True,False,False,False,False,True,False,False
33,99100,51182,673,28,3,14.32,48,0.63,1,0,1,1,0,False,False,False,True,False,False,False,False,False
67,102596,201145,675,83,4,17.27,24,0.64,3,1,1,0,0,False,False,True,False,True,False,False,True,False
51,25763,184751,655,48,4,10.31,48,0.69,2,1,0,0,0,False,False,False,False,True,False,False,False,False
33,56454,98286,339,9,1,3.3,12,0.73,2,0,1,1,0,False,False,True,True,False,False,False,True,False
59,115655,45250,626,115,3,10.98,36,0.4,0,0,1,1,0,False,False,True,False,False,False,False,True,False
45,34421,211913,735,94,1,6.76,12,0.71,2,1,1,1,0,True,False,False,False,False,False,True,False,False
24,20496,11700,726,71,3,22.64,36,0.21,1,0,1,1,1,False,False,False,False,False,False,False,False,True
35,143751,151838,585,63,1,14.68,36,0.55,1,1,0,1,0,False,False,True,True,False,False,False,False,False
24,63882,104512,370,53,1,24.44,48,0.63,0,0,0,1,0,True,False,False,True,False,False,False,True,False
37,45879,114946,320,94,3,11.4,12,0.86,3,0,1,1,0,False,True,False,False,False,False,True,False,False
59,69353,249243,741,86,1,3.62,36,0.49,2,1,1,1,0,False,False,True,False,True,False,True,False,False
26,138428,202614,605,61,2,4.55,36,0.25,2,0,1,0,0,False,False,True,False,False,False,False,False,True
63,144012,69689,622,42,1,10.82,60,0.82,3,0,0,0,0,False,False,True,True,False,False,False,False,True
24,78868,131947,358,95,2,12.82,60,0.2,1,0,1,0,0,True,False,False,False,True,False,False,True,False
35,20635,164819,352,21,3,24.15,48,0.11,3,0,1,1,0,True,False,False,False,False,False,False,False,False
53,103440,127439,556,119,3,5.16,60,0.44,3,1,0,0,0,False,True,False,False,False,False,True,False,False
27,22789,172925,667,7,4,11.02,60,0.5,3,0,1,0,1,False,False,True,False,True,False,False,True,False
44,26696,15729,670,112,2,5.53,24,0.53,3,0,0,1,0,False,False,True,False,False,False,False,False,False
44,81099,175155,321,28,3,9.52,60,0.11,1,1,0,1,0,False,False,False,False,True,False,True,False,False
26,76996,216486,439,15,2,11.47,24,0.46,3,1,0,1,0,False,False,True,False,False,False,False,True,False
55,90832,63727,767,8,4,4.75,24,0.46,0,1,1,1,0,True,False,False,False,False,True,False,False,False
54,129065,206760,736,22,4,14.0,36,0.84,3,0,1,0,0,False,False,True,False,True,False,True,False,False
51,23527,244795,670,17,3,13.14,60,0.89,0,1,1,1,0,False,False,False,True,False,False,False,False,True
46,68192,246628,681,27,1,22.15,24,0.89,0,0,1,1,0,True,False,False,False,False,False,False,True,False
25,146199,147457,306,78,1,12.2,60,0.14,2,1,0,1,0,False,False,False,False,False,False,True,False,False
34,146103,54731,721,77,4,19.41,36,0.77,3,1,0,1,0,False,True,False,False,True,False,False,False,False
26,78862,224660,446,15,4,18.48,12,0.53,0,1,0,0,1,True,False,False,True,False,False,True,False,False
52,50544,96150,644,78,3,20.49,36,0.39,2,0,0,1,0,True,False,False,True,False,False,False,False,False
24,58244,7659,694,87,1,21.06,48,0.73,2,0,0,0,0,False,False,False,True,False,False,False,False,False
65,108866,169844,468,43,4,19.85,12,0.82,3,0,0,0,0,False,False,True,True,False,False,True,False,False
62,60720,242953,356,96,2,18.12,36,0.44,0,1,1,1,0,False,True,False,False,False,False,True,False,False
43,44974,182112,807,96,1,15.36,24,0.17,2,0,1,0,0,False,False,False,False,True,False,False,False,False
22,89725,205555,451,101,1,6.74,12,0.76,2,0,1,0,1,False,True,False,False,True,False,False,False,True
34,49691,189959,383,26,3,8.01,24,0.34,0,0,1,1,0,False,True,False,False,True,False,False,False,True
18,138129,143234,736,113,1,10.76,48,0.16,0,1,0,0,0,False,False,False,False,True,False,True,False,False
22,76046,221956,392,18,1,22.66,24,0.47,2,1,0,0,1,False,False,True,False,True,False,False,False,True
63,76765,40142,645,104,1,16.5,60,0.47,2,0,1,0,0,False,True,False,False,True,True,False,False,False
36,136861,142337,415,50,4,7.42,24,0.15,3,1,1,0,0,False,False,True,False,True,False,False,False,False
69,74427,227855,668,80,1,4.96,24,0.89,0,1,1,0,0,False,False,True,False,True,False,False,False,False
64,71240,50364,349,92,1,11.69,36,0.8,3,1,0,0,0,False,False,True,False,False,False,True,False,False
53,100968,232249,301,38,2,9.4,12,0.59,3,0,1,1,0,False,False,False,False,False,False,False,False,True
66,71327,116770,328,65,3,7.55,12,0.59,0,1,1,1,0,False,False,True,False,False,False,True,False,False
29,53060,26552,334,11,2,2.49,24,0.59,1,0,1,1,0,False,True,False,True,False,True,False,False,False
19,22706,122914,538,67,2,5.09,24,0.47,3,1,0,1,1,False,True,False,False,True,True,False,False,False
55,20831,131699,441,53,1,9.95,60,0.64,2,1,0,1,0,False,True,False,False,True,False,False,False,True
65,145589,14595,775,89,1,8.87,60,0.85,3,1,1,0,0,False,True,False,False,False,False,True,False,False
19,133374,176323,329,21,3,5.42,36,0.25,1,1,0,1,0,True,False,False,True,False,False,True,False,False
38,44369,177622,471,84,3,21.05,12,0.46,0,0,1,1,0,True,False,False,True,False,True,False,False,False
65,44842,205542,778,39,1,18.98,12,0.37,1,1,0,1,0,False,False,True,True,False,False,True,False,False
42,68909,223994,714,10,3,7.74,24,0.73,0,0,0,1,0,False,False,True,True,False,False,False,False,True
38,55993,234610,623,59,4,24.27,60,0.64,0,1,1,0,0,False,False,False,False,True,False,False,False,False
29,124733,140231,547,57,3,10.76,60,0.55,0,1,1,0,0,False,False,True,False,False,True,False,False,False
53,92033,131091,792,33,4,7.9,48,0.54,0,0,0,0,0,False,True,False,False,False,False,False,True,False
60,111229,246459,838,1,4,2.09,60,0.53,3,0,0,1,0,False,False,False,False,False,False,False,False,True
35,61560,214144,789,22,3,12.32,48,0.56,3,1,0,1,0,False,False,False,False,True,False,True,False,False
44,38657,133708,830,18,1,17.46,36,0.27,1,0,0,1,0,False,False,True,False,True,False,True,False,False
67,105407,209169,456,90,3,11.61,24,0.42,2,0,0,1,0,False,True,False,False,True,False,True,False,False
61,31142,15311,691,0,3,20.41,48,0.62,3,0,0,0,1,False,False,False,False,False,True,False,False,False
55,32116,106916,635,50,3,6.84,24,0.63,3,0,1,1,0,False,False,False,False,True,True,False,False,False
27,102332,222430,669,30,3,7.01,60,0.77,1,1,0,0,0,False,False,True,True,False,False,False,False,False
47,16317,117650,364,62,4,2.61,24,0.83,0,0,1,0,0,False,False,True,False,False,True,False,False,False
41,39943,187904,410,35,1,11.41,48,0.45,3,0,0,0,0,False,False,True,False,True,True,False,False,False
56,69151,113637,432,18,3,13.62,24,0.64,1,0,1,0,0,False,True,False,False,False,False,False,False,False
32,31290,8170,818,16,3,24.94,48,0.52,2,1,1,0,0,False,False,True,False,False,False,False,False,False
65,46076,88052,302,35,4,11.27,24,0.24,2,0,1,1,0,True,False,False,False,True,False,False,False,True
39,119896,131057,462,78,3,6.44,48,0.14,3,1,1,1,0,False,False,False,False,False,False,True,False,False
35,22769,23963,593,103,3,6.35,36,0.64,1,0,0,1,0,True,False,False,False,True,False,False,True,False
55,84542,199883,494,74,2,12.44,24,0.67,2,0,1,0,0,True,False,False,True,False,False,False,False,True
60,96110,23999,320,75,4,23.87,24,0.29,1,1,0,0,0,False,True,False,True,False,False,True,False,False
62,60695,206991,518,106,3,14.93,48,0.47,3,0,0,0,0,True,False,False,False,True,False,False,True,False
25,46681,141207,568,86,4,13.3,12,0.24,2,0,0,1,0,False,False,False,True,False,True,False,False,False
32,91670,217621,755,2,3,4.5,60,0.31,3,0,0,0,0,False,False,False,True,False,False,True,False,False
62,52384,53174,456,87,2,6.6,48,0.58,0,1,0,1,0,True,False,False,True,False,False,False,True,False
36,104752,192092,836,84,1,22.35,48,0.22,0,1,1,0,1,False,False,True,False,True,False,True,False,False
22,95760,12069,348,83,1,4.72,48,0.19,1,0,0,0,0,False,False,True,False,True,True,False,False,False
44,31252,160243,483,40,3,16.1,60,0.26,1,1,1,0,0,False,True,False,False,True,True,False,False,False
18,134568,66582,655,38,4,18.11,12,0.26,0,1,0,1,0,False,True,False,False,True,False,False,False,False
61,39755,123104,804,40,1,11.17,48,0.88,3,0,1,0,0,False,False,True,False,False,False,False,True,False
47,71405,135432,347,111,2,18.62,60,0.47,2,0,1,0,0,False,False,False,False,False,False,True,False,False
69,29985,91662,653,74,3,15.91,24,0.75,3,1,0,0,0,False,False,True,False,True,False,False,True,False
49,133578,60859,715,98,4,15.26,36,0.34,3,1,0,1,0,False,True,False,False,False,False,False,True,False
68,30511,19308,364,38,3,24.49,36,0.13,2,1,1,1,0,True,False,False,False,True,False,False,True,False
27,28338,71441,449,41,3,10.35,48,0.32,0,0,1,1,0,False,True,False,False,False,False,False,False,False
40,15997,209366,702,102,4,24.3,60,0.58,0,1,1,0,0,False,False,False,False,False,False,False,True,False
21,91517,152002,595,79,2,7.2,12,0.56,0,1,0,1,1,True,False,False,False,False,False,False,False,True
25,120252,18555,543,79,2,21.33,24,0.8,0,1,0,0,0,False,False,False,False,False,False,False,False,False
28,77047,68213,728,37,1,13.61,12,0.79,3,1,1,0,0,True,False,False,True,False,False,True,False,False
53,84410,238154,822,90,4,2.56,12,0.4,0,0,0,0,0,False,False,False,True,False,False,False,True,False
47,90856,216864,472,46,4,20.96,24,0.19,3,1,1,1,0,False,True,False,False,False,False,False,False,False
39,55234,181806,566,30,3,23.23,36,0.14,0,0,0,0,1,False,True,False,False,True,False,False,True,False
53,121085,218040,485,24,2,9.83,12,0.18,3,1,1,0,0,True,False,False,True,False,False,True,False,False
32,58201,190919,459,56,3,5.6,12,0.79,0,0,1,1,0,True,False,False,True,False,False,False,True,False
43,58071,100264,399,79,1,2.17,48,0.26,1,0,0,0,0,False,False,True,True,False,False,False,True,False
23,82529,200531,689,94,1,3.1,24,0.64,0,0,1,1,0,True,False,False,False,False,True,False,False,False
31,110640,62454,337,56,4,5.83,60,0.27,3,0,0,1,0,True,False,False,False,True,False,False,False,False
41,114281,121038,840,47,3,17.65,60,0.78,3,1,1,1,0,False,False,False,False,False,False,False,False,True
38,95178,158257,497,114,2,4.15,36,0.14,3,0,1,0,0,False,True,False,False,True,False,False,False,True
63,60907,199916,656,20,4,10.82,12,0.47,1,1,1,0,0,False,True,False,True,False,False,False,True,False
60,74004,217583,513,0,4,23.9,36,0.17,0,0,0,1,1,False,False,True,False,False,False,True,False,False
62,109876,189219,756,110,4,16.26,36,0.43,2,1,0,0,0,True,False,False,False,True,False,False,True,False
26,115119,197712,357,90,3,21.85,48,0.5,0,1,0,0,0,False,True,False,False,True,False,False,False,True
57,44973,240783,558,33,4,10.89,24,0.35,0,1,0,1,0,True,False,False,False,True,False,False,True,False
50,75835,151221,303,11,3,8.9,12,0.13,2,0,1,1,0,True,False,False,True,False,False,False,True,False
38,138284,238963,420,4,1,14.26,24,0.44,2,0,0,1,0,True,False,False,False,False,False,False,False,False
49,87790,191998,422,35,3,16.95,24,0.34,0,0,0,1,0,False,False,True,True,False,False,False,True,False
50,30702,207681,467,27,3,23.5,36,0.55,0,0,0,1,0,False,False,True,True,False,False,False,False,False
65,45902,102339,639,112,3,15.29,24,0.13,2,0,0,1,0,False,False,True,False,True,False,False,False,False
32,143624,18202,528,112,3,10.84,24,0.1,0,1,1,1,0,True,False,False,True,False,False,False,True,False
64,58773,68761,590,118,4,4.84,12,0.78,3,1,0,1,0,False,False,False,True,False,True,False,False,False
19,149845,236326,409,85,1,15.19,12,0.62,2,0,0,1,0,False,False,True,False,False,False,False,False,False
61,82034,18907,592,76,2,10.45,60,0.39,3,1,0,0,0,True,False,False,False,True,False,False,True,False
41,89917,26343,501,39,3,16.46,60,0.86,2,0,1,0,0,False,True,False,False,False,False,False,True,False
59,60112,96670,642,33,3,13.74,24,0.25,3,1,0,0,0,False,True,False,True,False,True,False,False,False
30,38041,213901,641,77,1,10.88,24,0.32,1,0,0,1,0,True,False,False,False,False,False,False,False,False
48,29189,194776,504,71,3,16.38,12,0.83,0,0,0,1,1,False,False,False,False,False,False,False,False,False
50,90381,89520,702,30,1,6.7,12,0.5,2,1,1,0,0,False,True,False,False,True,False,False,False,True
62,130529,164910,362,32,2,7.71,24,0.19,2,0,0,0,0,False,True,False,False,True,False,True,False,False
68,112668,76450,345,34,2,7.72,36,0.36,1,0,1,1,0,True,False,False,False,True,False,True,False,False
64,140557,93335,745,93,2,13.94,60,0.56,2,0,0,0,0,True,False,False,True,False,False,False,True,False
46,47525,159499,326,34,3,5.08,24,0.3,3,1,0,1,0,False,False,False,False,False,False,True,False,False
47,40895,204226,750,99,4,2.08,60,0.42,0,0,1,0,0,False,False,True,False,True,False,False,False,False
27,127258,190426,419,0,1,21.43,60,0.25,3,0,0,1,1,False,False,True,False,True,True,False,False,False
28,116690,33140,813,64,2,12.42,48,0.53,0,0,1,0,0,False,False,False,False,False,False,False,False,False
37,68867,128118,535,87,1,6.0,24,0.39,0,0,1,0,0,False,True,False,True,False,False,False,False,False
55,54354,188830,464,26,1,22.38,24,0.74,0,1,0,0,0,False,True,False,False,False,False,True,False,False
63,39216,178000,707,74,1,12.48,12,0.15,2,0,0,0,0,False,True,False,False,False,False,False,False,False
32,23530,44457,578,53,2,7.69,60,0.24,0,0,1,1,0,False,False,False,True,False,False,False,False,True
26,90736,51090,372,27,3,11.18,12,0.8,1,0,1,1,0,False,False,True,True,False,False,False,True,False
37,104477,133005,440,14,3,9.6,60,0.61,0,0,1,0,0,False,False,True,False,False,False,False,False,True
57,53658,7916,421,41,4,11.43,12,0.78,3,0,0,0,0,False,False,False,True,False,True,False,False,False
57,66216,74977,385,82,4,12.72,48,0.79,0,1,1,1,0,False,False,False,False,True,False,False,True,False
34,117941,103006,796,118,1,11.97,60,0.47,3,1,1,1,0,False,True,False,False,False,False,False,False,True
50,36360,212402,424,114,2,17.16,60,0.12,0,0,1,0,0,True,False,False,False,False,True,False,False,False
44,125441,163528,585,33,3,10.14,12,0.59,2,1,0,1,0,False,True,False,False,True,True,False,False,False
39,52619,128510,374,100,2,6.55,24,0.7,0,0,0,0,0,False,False,True,True,False,False,False,True,False
42,25190,133353,661,9,4,23.73,24,0.52,1,1,1,0,1,False,False,True,False,False,True,False,False,False
48,23449,62171,687,0,4,2.3,12,0.76,3,0,0,1,0,False,False,True,False,False,False,False,True,False
21,138393,89315,736,32,4,21.01,24,0.17,3,0,0,1,0,False,True,False,True,False,False,False,True,False
65,143401,87273,676,48,2,8.26,24,0.56,0,0,1,1,0,False,False,False,False,False,True,False,False,False
25,48935,163826,524,45,1,14.33,12,0.57,3,0,1,0,1,True,False,False,True,False,True,False,False,False
44,38064,232185,778,105,1,10.29,24,0.89,0,0,0,1,0,True,False,False,False,True,False,False,False,True
31,55486,131348,351,62,4,3.31,60,0.35,2,1,0,0,0,False,False,True,False,False,False,True,False,False
61,62896,224997,814,91,4,2.42,48,0.64,1,1,0,1,0,False,True,False,True,False,False,False,False,False
26,90112,220660,364,84,3,10.21,12,0.64,0,1,1,1,0,True,False,False,False,True,False,False,False,False
63,128944,218992,400,102,3,17.39,12,0.33,1,0,0,0,0,True,False,False,False,True,False,True,False,False
42,123546,29024,849,23,4,9.56,48,0.13,1,0,1,0,0,False,True,False,False,False,False,True,False,False
21,18425,116926,627,79,1,6.68,36,0.85,1,0,1,1,0,True,False,False,False,True,False,False,False,True
24,50051,213492,351,75,3,10.56,36,0.45,3,0,1,1,0,False,True,False,False,False,False,True,False,False
52,26280,56359,464,46,4,10.74,24,0.83,2,1,1,0,0,False,False,False,False,False,False,False,False,True
43,83915,154105,439,16,1,16.37,36,0.42,0,1,0,1,0,False,False,False,False,True,False,False,True,False
27,112189,81214,330,115,1,12.27,36,0.19,2,0,1,1,0,True,False,False,False,True,False,False,False,False
45,95470,65158,350,95,4,4.51,60,0.33,0,1,1,0,0,False,False,False,False,False,False,True,False,False
35,58495,190150,415,92,3,20.48,36,0.23,2,1,0,1,0,False,True,False,True,False,False,False,False,False
55,123201,192577,621,106,4,20.52,36,0.38,3,0,0,1,0,True,False,False,True,False,False,False,False,True
53,66876,142102,364,6,2,24.09,48,0.54,3,1,0,0,0,False,True,False,False,False,False,True,False,False
68,135810,189780,396,68,4,21.25,48,0.71,3,0,0,1,0,False,False,False,False,False,True,False,False,False
35,70732,83794,631,82,1,6.6,48,0.47,1,1,1,0,1,False,False,False,True,False,True,False,False,False
31,124522,64541,492,62,2,6.23,12,0.57,2,0,0,1,0,False,False,True,False,True,True,False,False,False
27,44679,104145,353,93,2,18.73,24,0.61,3,0,0,0,0,False,False,True,False,False,False,True,False,False
51,113452,125914,802,25,4,17.04,60,0.24,3,1,0,1,0,True,False,False,False,True,False,False,True,False
39,79639,126167,379,43,1,17.74,12,0.35,3,1,1,1,0,False,False,False,False,True,False,False,False,False
19,50903,176255,784,99,1,9.12,48,0.82,1,0,1,0,0,True,False,False,False,False,True,False,False,False
46,48645,82670,328,106,2,15.04,60,0.67,3,1,1,0,0,False,False,False,False,True,False,False,False,False
54,40384,32545,718,13,4,15.16,36,0.64,3,1,0,1,0,False,False,True,True,False,False,False,False,True
54,63236,59336,841,10,3,22.89,60,0.31,1,0,0,1,0,False,True,False,False,False,False,False,False,True
26,88011,23704,676,97,4,24.6,48,0.69,2,1,1,0,1,False,False,True,True,False,False,True,False,False
41,22731,25254,650,16,3,13.91,12,0.36,0,0,1,0,0,False,False,True,False,False,True,False,False,False
66,136949,78978,649,13,4,9.17,36,0.11,0,0,1,0,1,False,True,False,False,False,False,True,False,False
43,133158,147793,769,13,4,5.35,48,0.4,1,0,1,1,0,True,False,False,True,False,True,False,False,False
59,44519,19408,659,93,2,10.31,48,0.29,0,1,1,1,0,False,False,True,False,True,True,False,False,False
23,30119,182420,308,50,1,5.22,48,0.71,3,1,0,1,0,False,True,False,False,True,True,False,False,False
28,41314,63177,300,45,2,20.64,36,0.8,2,1,0,0,0,False,False,True,False,False,False,False,True,False
21,115273,199620,630,51,3,17.43,60,0.2,0,1,1,0,0,False,True,False,False,True,True,False,False,False
